#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM    Stats: 8.529410e+12 (median) + 4.580889e+12  / - 2.225000e+12
#SM    Stats: 7.630920e+10 (median) + 5.419680e+10  / - 3.643740e+10
#ObsSM Stats: 7.410340e+10 (median) + 6.324260e+10  / - 3.828660e+10
#VMP   Stats: 3.699100e+02 (median) + 5.604999e+01  / - 3.897000e+01
#ICL   Stats: 2.943150e+09 (median) + 9.104750e+09  / - 2.058597e+09
#SSFR  Stats: 2.325970e-12 (median) + 3.824331e-12  / - 1.472288e-12
iclh 0.073623 0 0.0342339 0 #avg: 0.0424374; avg_err: 0.00414551; sd: 0.40252; counts: 9429
iclh 0.075873 1.18731e-06 0.0734187 1.18731e-06 #avg: 0.0643153; avg_err: 0.0036522; sd: 0.354621; counts: 9429
iclh 0.078123 0.00267235 0.126882 0.00267235 #avg: 0.0882303; avg_err: 0.0042358; sd: 0.411287; counts: 9429
iclh 0.080373 0.0134331 0.189555 0.0134331 #avg: 0.116011; avg_err: 0.00458631; sd: 0.445321; counts: 9429
iclh 0.082623 0.0307191 0.242042 0.0307191 #avg: 0.147418; avg_err: 0.00349159; sd: 0.339026; counts: 9429
iclh 0.085998 0.0732712 0.34188 0.07251 #avg: 0.222149; avg_err: 0.00443811; sd: 0.430931; counts: 9429
iclh 0.089373 0.133545 0.432605 0.124258 #avg: 0.305847; avg_err: 0.00635149; sd: 0.616716; counts: 9429
iclh 0.092748 0.210279 0.524679 0.182805 #avg: 0.401743; avg_err: 0.00702633; sd: 0.682242; counts: 9429
iclh 0.096123 0.296462 0.634472 0.241602 #avg: 0.521011; avg_err: 0.00833054; sd: 0.808878; counts: 9429
iclh 0.099498 0.39433 0.73464 0.303917 #avg: 0.640224; avg_err: 0.00990728; sd: 0.961976; counts: 9429
iclh 0.102873 0.500717 0.855913 0.366295 #avg: 0.767608; avg_err: 0.0102076; sd: 0.991134; counts: 9429
iclh 0.106248 0.60194 0.97774 0.422327 #avg: 0.897245; avg_err: 0.0110167; sd: 1.0697; counts: 9429
iclh 0.109623 0.705321 1.07774 0.47677 #avg: 1.04512; avg_err: 0.0133879; sd: 1.29993; counts: 9429
iclh 0.112998 0.806857 1.17233 0.534072 #avg: 1.18667; avg_err: 0.0189491; sd: 1.83992; counts: 9429
iclh 0.116373 0.878166 1.30755 0.572535 #avg: 1.28398; avg_err: 0.0178278; sd: 1.73104; counts: 9429
iclh 0.119748 0.94688 1.38026 0.611186 #avg: 1.38207; avg_err: 0.0265416; sd: 2.57714; counts: 9429
iclh 0.123123 1.01966 1.45454 0.646765 #avg: 1.48065; avg_err: 0.019686; sd: 1.91147; counts: 9429
iclh 0.126498 1.08831 1.52334 0.68721 #avg: 1.58537; avg_err: 0.0210395; sd: 2.04289; counts: 9429
iclh 0.129873 1.13906 1.61618 0.711114 #avg: 1.69556; avg_err: 0.0243127; sd: 2.36071; counts: 9429
iclh 0.133248 1.19815 1.72199 0.752204 #avg: 1.77786; avg_err: 0.0260339; sd: 2.52784; counts: 9429
iclh 0.136623 1.23588 1.7979 0.774203 #avg: 1.87265; avg_err: 0.0284843; sd: 2.76576; counts: 9429
iclh 0.141685 1.28738 1.89286 0.797119 #avg: 1.99789; avg_err: 0.0284751; sd: 2.76487; counts: 9429
iclh 0.146748 1.33341 2.01667 0.823582 #avg: 2.10992; avg_err: 0.0312685; sd: 3.0361; counts: 9429
iclh 0.15181 1.38018 2.15985 0.849908 #avg: 2.19557; avg_err: 0.038304; sd: 3.71924; counts: 9429
iclh 0.156873 1.39542 2.19775 0.865318 #avg: 2.26732; avg_err: 0.0381622; sd: 3.70547; counts: 9429
iclh 0.161935 1.4087 2.29534 0.87905 #avg: 2.35719; avg_err: 0.0381832; sd: 3.7075; counts: 9429
iclh 0.166998 1.41677 2.38629 0.891672 #avg: 2.39947; avg_err: 0.0412576; sd: 4.00603; counts: 9429
iclh 0.17206 1.42164 2.40162 0.902454 #avg: 2.44543; avg_err: 0.0467625; sd: 4.54054; counts: 9429
iclh 0.177123 1.39678 2.43833 0.894192 #avg: 2.47356; avg_err: 0.0461027; sd: 4.47647; counts: 9429
iclh 0.182185 1.38227 2.55358 0.893241 #avg: 2.48608; avg_err: 0.0483531; sd: 4.69499; counts: 9429
iclh 0.187248 1.36516 2.56491 0.88936 #avg: 2.5234; avg_err: 0.0527942; sd: 5.12621; counts: 9429
iclh 0.19231 1.34116 2.57189 0.886076 #avg: 2.59409; avg_err: 0.0696788; sd: 6.76566; counts: 9429
iclh 0.197373 1.32556 2.62265 0.890323 #avg: 2.59334; avg_err: 0.0609411; sd: 5.91725; counts: 9429
iclh 0.202435 1.3178 2.65363 0.894887 #avg: 2.64581; avg_err: 0.0694217; sd: 6.7407; counts: 9429
iclh 0.207498 1.27871 2.71768 0.876461 #avg: 2.63134; avg_err: 0.0916947; sd: 8.90336; counts: 9429
iclh 0.21256 1.26342 2.82697 0.876903 #avg: 2.7606; avg_err: 0.0911228; sd: 8.84783; counts: 9429
iclh 0.217623 1.23099 2.89332 0.85826 #avg: 2.83397; avg_err: 0.110524; sd: 10.7317; counts: 9429
iclh 0.222685 1.20553 2.93064 0.846487 #avg: 2.86964; avg_err: 0.127527; sd: 12.3826; counts: 9429
iclh 0.227748 1.17426 2.95505 0.833312 #avg: 2.91179; avg_err: 0.121719; sd: 11.8186; counts: 9429
iclh 0.23281 1.1496 3.01798 0.821993 #avg: 3.00874; avg_err: 0.11193; sd: 10.8682; counts: 9429
iclh 0.237873 1.12805 2.96684 0.815287 #avg: 3.07722; avg_err: 0.0984231; sd: 9.55668; counts: 9429
iclh 0.242935 1.09514 3.04475 0.800602 #avg: 3.12345; avg_err: 0.110281; sd: 10.7081; counts: 9429
