#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.95 - 3.11667
#HM    Stats: 1.277940e+14 (median) + 1.848500e+13  / - 1.866200e+13
#SM    Stats: 3.454710e+11 (median) + 1.184230e+11  / - 5.006983e+09
#ObsSM Stats: 3.448720e+11 (median) + 2.420840e+11  / - 9.296000e+10
#VMP   Stats: 9.854700e+02 (median) + 3.236005e+01  / - 8.632996e+01
#ICL   Stats: 9.306270e+10 (median) + 5.908230e+10  / - 7.044899e+09
#SSFR  Stats: 1.899853e-11 (median) + 8.019954e-12  / - 6.467049e-15
sfh 0.328997 104.472 12.736 101.101 #avg: 75.0169; avg_err: 36.0112; sd: 50.9276; counts: 3
sfh 0.33406 41.458 4.2054 37.6059 #avg: 30.3245; avg_err: 13.2917; sd: 18.7974; counts: 3
sfh 0.339122 34.9999 29.0643 26.2792 #avg: 35.9283; avg_err: 15.983; sd: 22.6034; counts: 3
sfh 0.344185 47.6014 23.0809 43.8874 #avg: 40.6659; avg_err: 19.6406; sd: 27.7761; counts: 3
sfh 0.349247 66.5897 29.1739 62.5395 #avg: 55.4678; avg_err: 27.0531; sd: 38.2589; counts: 3
sfh 0.35431 48.5402 41.1131 43.084 #avg: 47.8832; avg_err: 24.3078; sd: 34.3765; counts: 3
sfh 0.359372 55.9411 8.2538 38.8382 #avg: 45.7463; avg_err: 14.5185; sd: 20.5323; counts: 3
sfh 0.364435 6.02894 53.9602 3.11613 #avg: 22.977; avg_err: 18.5279; sd: 26.2024; counts: 3
sfh 0.369497 3.38715 18.7348 0.83704 #avg: 9.35309; avg_err: 6.38903; sd: 9.03545; counts: 3
sfh 0.37456 21.0249 25.9854 8.64 #avg: 26.8067; avg_err: 10.4052; sd: 14.7151; counts: 3
